nei_final_simple,total_unique_users,non_anonymous_reporters_total,total_issue_requested,thanks_total,thanks_count,reopened_total,votes_total,votes_count,reported_time_to_Acknowledged_time_1_median,reported_time_to_Closed_time_1_median,reported_time_to_Reopened_time_2_median,reported_time_to_Acknowledged_time_2_median,reported_time_to_Closed_time_2_median,reported_time_to_Reopened_time_3_median,reported_time_to_Acknowledged_time_3_median,reported_time_to_Closed_time_3_median,reported_time_to_Reopened_time_4_median,reported_time_to_Acknowledged_time_4_median,Acknowledged_time_1_to_Closed_time_1_median,Acknowledged_time_1_to_Reopened_time_2_median,Acknowledged_time_1_to_Acknowledged_time_2_median,Acknowledged_time_1_to_Closed_time_2_median,Acknowledged_time_1_to_Reopened_time_3_median,Acknowledged_time_1_to_Acknowledged_time_3_median,Acknowledged_time_1_to_Closed_time_3_median,Acknowledged_time_1_to_Reopened_time_4_median,Acknowledged_time_1_to_Acknowledged_time_4_median,Closed_time_1_to_Reopened_time_2_median,Closed_time_1_to_Acknowledged_time_2_median,Closed_time_1_to_Closed_time_2_median,Closed_time_1_to_Reopened_time_3_median,Closed_time_1_to_Acknowledged_time_3_median,Closed_time_1_to_Closed_time_3_median,Closed_time_1_to_Reopened_time_4_median,Closed_time_1_to_Acknowledged_time_4_median,Reopened_time_2_to_Acknowledged_time_2_median,Reopened_time_2_to_Closed_time_2_median,Reopened_time_2_to_Reopened_time_3_median,Reopened_time_2_to_Acknowledged_time_3_median,Reopened_time_2_to_Closed_time_3_median,Reopened_time_2_to_Reopened_time_4_median,Reopened_time_2_to_Acknowledged_time_4_median,Acknowledged_time_2_to_Closed_time_2_median,Acknowledged_time_2_to_Reopened_time_3_median,Acknowledged_time_2_to_Acknowledged_time_3_median,Acknowledged_time_2_to_Closed_time_3_median,Acknowledged_time_2_to_Reopened_time_4_median,Acknowledged_time_2_to_Acknowledged_time_4_median,Closed_time_2_to_Reopened_time_3_median,Closed_time_2_to_Acknowledged_time_3_median,Closed_time_2_to_Closed_time_3_median,Closed_time_2_to_Reopened_time_4_median,Closed_time_2_to_Acknowledged_time_4_median,Reopened_time_3_to_Acknowledged_time_3_median,Reopened_time_3_to_Closed_time_3_median,Reopened_time_3_to_Reopened_time_4_median,Reopened_time_3_to_Acknowledged_time_4_median,Acknowledged_time_3_to_Closed_time_3_median,Acknowledged_time_3_to_Reopened_time_4_median,Acknowledged_time_3_to_Acknowledged_time_4_median,Closed_time_3_to_Reopened_time_4_median,Closed_time_3_to_Acknowledged_time_4_median,Reopened_time_4_to_Acknowledged_time_4_median,reopenings_total,anonymous_reports_total,non_anonymous_reports_total,household_income,population,population_density,white_popl,hispanic_popl,black_popl,asian_popl,mixed_popl,other_popl,household_type_married_count,household_type_single_female_count,household_type_single_male_count,household_type_one_person_count,household_type_other_non_family_count,household_type_with_children,Age_0_to_17,Age_18_to_21,Age_22_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80_older,marital_status_married,marital_status_separated_divorce,marital_status_widowed,marital_status_never_married,employ_status_working_age_man,employ_status_both_parents_work,employ_status_stay_at_home_moms,employ_status_stay_at_home_dads,employ_status_neither_parent_work,food_stamps_total,educational_attainment_no_hs,educational_attainment_bachelors,educational_attainment_very_advanced_degrees,private_sector,self_employed_sector,non_profit_sector,walk_score,transit_score,bike_score
Arbor Hill,9,8,36,0,4,2,65,32,35688,18925963,565261.5,570702.5,1654339,,,,,,9602187.5,525023,530464,1583604,,,,,,57494.5,62935.5,1153160,,,,,,5441,1051296,,,,,,1049145,,,,,,,,,,,,,,,,,,,,,2,24,12,28097.25,5379,10976.51,447,201,4438,54,339,0,467,651,144,1043,226,525,1121,251,1017,647,759,883,442,144,117,1036,584,80,2635,134,111,29,0,0,1160,389,569,46,1700,1,229,75,62,44
Beverwyck,12,11,22,0,3,3,76,19,54519,12663755,1051869,6172260.5,,,,,,,13854760,6018101,6048514.5,,,,,,,32260,51746,,,,,,,30413.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,13,31694,3667,17353.66,1398,809,1042,239,172,7,222,263,117,735,244,297,774,322,545,634,412,434,329,117,100,510,244,155,2086,264,86,42,0,0,607,265,617,39,,,,86,62,59
Bishops Gate,2,1,4,,,0,9,4,81156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,49526.58,1423,2940.25,1088,38,154,124,4,14,196,41,20,379,89,112,105,71,201,177,32,90,243,219,285,428,165,200,526,66,14,8,0,0,156,121,228,31,337,12,65,25,34,26
Buckingham Lake/Crestwood,38,37,87,0,27,8,201,60,60510,16226121.5,887574,1048118,3929351,4147065,,,,,17932909.5,477604.5,688460,,,,,,,43560,523772,738828,956542,,,,,261167,715207,932921,,,,,,,,,,,217714,,,,,,,,,,,,,,,8,26,61,76063.14,4338,4639.05,3540,92,263,354,81,8,844,139,31,828,220,308,568,114,675,583,477,500,710,390,322,1781,431,291,1351,209,221,24,16,0,144,163,1701,311,996,51,377,31,44,40
Center Square,45,44,212,0,31,6,665,181,61833.5,8241951,858465,2048632,3517026.5,621076,,,,,8226209,540609,1812979,3510962.5,617653,,,,,111274,499934,1696837,100483,,,,,253308,1688896,86376,,,,,3289124,,,,,,717,,,,,,,,,,,,,,,6,130,82,52087.17,4209,27820.03,2713,427,672,191,179,27,278,127,71,1661,467,169,298,145,1342,958,253,512,450,151,98,623,392,70,1139,225,32,0,0,0,401,204,1783,278,,,,91,68,57
Central Ave,13,12,32,,,2,102,32,32478,1403457.5,1627432,,,,,,,,,,,,,,,,,223974.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,16,40074.41,2776,12472.39,1190,224,1091,161,106,3,197,144,64,863,188,180,562,138,541,591,257,303,203,83,100,447,186,36,1610,137,18,20,12,0,380,235,623,89,777,64,170,94,66,63
Delaware Avenue,30,29,89,0,13,5,222,76,56551,8215696.5,613865,9063863,22741915,,,,,,8753264,613150,4804612,22704328,,,,,,2817,8974,18022273,,,,,,6670,18018713,,,,,,17899716,,,,,,,,,,,,,,,,,,,,,5,52,37,53423.87,8215,10236.51,3549,823,2530,908,386,19,761,707,118,1120,411,717,2025,434,1000,1275,1068,1273,651,338,150,1841,999,379,3244,433,182,125,43,5,588,733,1376,166,2430,13,572,71,49,52
Downtown,36,35,174,1,37,3,439,137,41144,5530283.5,48532459,48532644,,,,,,,3431242,,,,,,,,,29,214,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,81,93,18650,1239,1839.97,621,29,439,98,48,4,40,36,2,516,107,18,64,0,208,240,144,253,159,115,56,167,122,138,748,109,0,9,0,0,328,199,293,13,,,,94,69,64
Dunes,3,3,3,,,0,9,3,332571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,74130,1542,981.49,1346,64,63,47,0,22,204,38,14,337,67,76,128,0,105,157,117,200,166,122,547,479,183,393,367,36,51,5,9,0,5,97,693,62,200,4,115,26,31,30
Eagle Hill,16,15,42,0,10,3,94,32,45227,12838014.5,37146882,41155253.5,37497962,,,,,,12105698,36907290,36910377,37258370,,,,,,1843,86243,359522,,,,,,81100.5,351080,,,,,,347993,,,,,,,,,,,,,,,,,,,,,3,23,19,55568,3933,5344.57,2908,105,439,269,194,18,658,126,89,753,275,195,411,149,715,540,478,563,473,416,188,1346,472,232,1546,223,101,52,0,0,168,293,1248,176,,,,35,45,33
Helderberg,12,11,40,1,8,5,112,32,50926.5,1549420,1122305.5,4779941.5,11648077.5,863954,939316,7777930,,,1452965,1430876,4673499.5,11542421.5,861520,936882,7775496,,,48680,34298,10791782,784296,859658,7698272,,,30354.5,10525772,259097,334459,7173073,,,20998101,,,,,,253348,328710,7167324,,,75362,6913976,,,6838614,,,,,,5,23,17,77804.62,3146,7596.65,2378,110,287,228,136,7,568,130,29,557,159,238,484,158,452,512,443,445,387,149,117,1199,307,122,1129,222,188,18,3,7,68,52,1602,292,756,48,355,57,43,59
Krank park/Cherry hill,4,3,12,,,2,38,12,44580.5,1027079,1160794,1388574,,,,,,,933356,1067071,1294851,,,,,,,133715,361495,,,,,,,227780,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,4,34811,624,7405.49,132,23,451,0,7,11,50,98,4,81,0,65,99,86,72,121,41,115,49,36,5,105,52,32,336,19,12,9,1,0,78,66,52,11,151,4,51,57,53,36
Manning Blvd,3,2,13,0,2,0,39,11,48569,10934462,,,,,,,,,10810959.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,5,47862.18,786,8829.62,512,42,118,91,21,2,100,40,3,168,81,42,88,89,196,138,87,77,28,39,43,229,68,25,384,22,19,4,0,0,19,19,207,35,195,6,61,57,58,65
Mansion District,19,18,55,0,6,2,149,49,61369,14972280.5,1022926,1968800,,,,,,,14088679,1909009,1923837,,,,,,,38230.5,81327,,,,,,,14828,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,33,41576.72,1670,22409.97,639,201,808,22,0,0,170,68,18,378,149,99,192,215,269,218,255,190,138,121,72,389,141,18,947,57,3,6,4,0,349,196,255,27,450,4,183,90,68,50
